x,y,yerr
-1750.0,3,1.7320508075688772
-1729.591836734694,1,1.0
-1709.1836734693877,0,0.0
-1688.7755102040817,1,1.0
-1668.3673469387754,3,1.7320508075688772
-1647.9591836734694,0,0.0
-1627.5510204081634,3,1.7320508075688772
-1607.142857142857,3,1.7320508075688772
-1586.734693877551,1,1.0
-1566.3265306122448,2,1.4142135623730951
-1545.9183673469388,2,1.4142135623730951
-1525.5102040816328,6,2.449489742783178
-1505.1020408163265,5,2.23606797749979
-1484.6938775510205,4,2.0
-1464.2857142857142,6,2.449489742783178
-1443.8775510204082,7,2.6457513110645907
-1423.4693877551022,13,3.605551275463989
-1403.061224489796,14,3.7416573867739413
-1382.6530612244899,17,4.123105625617661
-1362.2448979591836,34,5.830951894845301
-1341.8367346938776,29,5.385164807134504
-1321.4285714285716,32,5.656854249492381
-1301.0204081632653,54,7.3484692283495345
-1280.6122448979593,79,8.888194417315589
-1260.204081632653,47,6.855654600401044
-1239.795918367347,49,7.0
-1219.387755102041,45,6.708203932499369
-1198.9795918367347,82,9.055385138137417
-1178.5714285714284,140,11.832159566199232
-1158.1632653061224,171,13.076696830622021
-1137.7551020408164,102,10.099504938362077
-1117.3469387755104,46,6.782329983125268
-1096.938775510204,33,5.744562646538029
-1076.5306122448978,15,3.872983346207417
-1056.1224489795918,15,3.872983346207417
-1035.7142857142858,12,3.4641016151377544
-1015.3061224489796,8,2.8284271247461903
-994.8979591836735,6,2.449489742783178
-974.4897959183673,3,1.7320508075688772
-954.0816326530612,3,1.7320508075688772
-933.6734693877552,4,2.0
-913.265306122449,2,1.4142135623730951
-892.8571428571429,3,1.7320508075688772
-872.4489795918367,0,0.0
-852.0408163265306,5,2.23606797749979
-831.6326530612245,2,1.4142135623730951
-811.2244897959184,2,1.4142135623730951
-790.8163265306123,3,1.7320508075688772
-770.4081632653061,2,1.4142135623730951
-750.0,2,1.4142135623730951
1200.0,2,1.4142135623730951
1220.408163265306,2,1.4142135623730951
1240.8163265306123,1,1.0
1261.2244897959183,2,1.4142135623730951
1281.6326530612246,3,1.7320508075688772
1302.0408163265306,1,1.0
1322.4489795918366,1,1.0
1342.857142857143,3,1.7320508075688772
1363.265306122449,5,2.23606797749979
1383.6734693877552,1,1.0
1404.0816326530612,4,2.0
1424.4897959183672,4,2.0
1444.8979591836735,1,1.0
1465.3061224489795,1,1.0
1485.7142857142858,1,1.0
1506.1224489795918,5,2.23606797749979
1526.5306122448978,6,2.449489742783178
1546.938775510204,6,2.449489742783178
1567.3469387755101,15,3.872983346207417
1587.7551020408164,8,2.8284271247461903
1608.1632653061224,21,4.58257569495584
1628.5714285714284,61,7.810249675906654
1648.9795918367347,115,10.723805294763608
1669.3877551020407,92,9.591663046625438
1689.795918367347,106,10.295630140987
1710.204081632653,61,7.810249675906654
1730.612244897959,82,9.055385138137417
1751.0204081632653,58,7.615773105863909
1771.4285714285716,48,6.928203230275509
1791.8367346938776,22,4.69041575982343
1812.2448979591836,18,4.242640687119285
1832.6530612244896,11,3.3166247903554
1853.061224489796,6,2.449489742783178
1873.4693877551022,10,3.1622776601683795
1893.8775510204082,4,2.0
1914.2857142857142,3,1.7320508075688772
1934.6938775510203,4,2.0
1955.1020408163265,2,1.4142135623730951
1975.5102040816328,2,1.4142135623730951
1995.9183673469388,3,1.7320508075688772
2016.3265306122448,5,2.23606797749979
2036.7346938775509,2,1.4142135623730951
2057.142857142857,3,1.7320508075688772
2077.5510204081634,1,1.0
2097.9591836734694,1,1.0
2118.3673469387754,1,1.0
2138.7755102040815,2,1.4142135623730951
2159.183673469388,2,1.4142135623730951
2179.591836734694,3,1.7320508075688772
2200.0,3,1.7320508075688772
